HGNC ID	Approved Symbol	UniProt ID(supplied by UniProt)
HGNC:42435	ADAMTS9-AS2	
HGNC:13201	ADAMTS10	Q9H324
HGNC:14605	ADAMTS12	P58397
HGNC:1366	ADAMTS13	Q76LX8
HGNC:14899	ADAMTS14	Q8WXS8
HGNC:16305	ADAMTS15	Q8TE58
HGNC:17108	ADAMTS16	Q8TE57
HGNC:17109	ADAMTS17	Q8TE56
HGNC:17110	ADAMTS18	Q8TE60
HGNC:17111	ADAMTS19	Q8TE59
HGNC:40797	ADAMTS19-AS1	
HGNC:17178	ADAMTS20	P59510
HGNC:14632	ADAMTSL1	Q8N6G6
HGNC:14631	ADAMTSL2	Q86TH1
HGNC:14633	ADAMTSL3	P82987
HGNC:19706	ADAMTSL4	Q6UY14
HGNC:32041	ADAMTSL4-AS1	Q5T5F5
HGNC:27912	ADAMTSL5	Q6ZMM2
HGNC:16486	ADAP1	O75689
HGNC:16487	ADAP2	Q9NPF8
HGNC:225	ADAR	P55265
HGNC:226	ADARB1	P78563
HGNC:227	ADARB2	Q9NS39
HGNC:23299	ADARB2-AS1	A8MUL3
HGNC:228	ADAT1	Q9BUB4
HGNC:21172	ADAT2	Q7Z6V5
HGNC:25151	ADAT3	Q96EY9
HGNC:19038	ADCK1	Q86TW2
HGNC:19039	ADCK2	Q7Z695
HGNC:16812	ADCK3	Q8NI60
HGNC:19041	ADCK4	Q96D53
HGNC:21738	ADCK5	Q3MIX3
HGNC:229	ADCP1	
HGNC:232	ADCY1	Q08828
HGNC:233	ADCY2	Q08462
HGNC:234	ADCY3	O60266
HGNC:235	ADCY4	Q8NFM4
HGNC:236	ADCY5	O95622
HGNC:237	ADCY6	O43306
HGNC:238	ADCY7	P51828
HGNC:239	ADCY8	P40145
HGNC:240	ADCY9	O60503
HGNC:21285	ADCY10	Q96PN6
HGNC:44143	ADCY10P1	
HGNC:241	ADCYAP1	P18509
HGNC:242	ADCYAP1R1	P41586
HGNC:243	ADD1	P35611
HGNC:244	ADD2	P35612
HGNC:245	ADD3	Q9UEY8
HGNC:48682	ADD3-AS1	
HGNC:247	ADFN	
HGNC:21212	ADGB	Q8N7X0
HGNC:13838	ADGRA1	Q86SQ6
HGNC:49543	ADGRA1-AS1	
HGNC:17849	ADGRA2	Q96PE1
HGNC:13839	ADGRA3	Q8IWK6
HGNC:943	ADGRB1	O14514
HGNC:944	ADGRB2	O60241
HGNC:945	ADGRB3	O60242
HGNC:19893	ADGRD1	Q6QNK2
HGNC:18651	ADGRD2	Q7Z7M1
HGNC:3336	ADGRE1	Q14246
HGNC:3337	ADGRE2	Q9UHX3
HGNC:23647	ADGRE3	Q9BY15
HGNC:19240	ADGRE4P	Q86SQ3
HGNC:1711	ADGRE5	P48960
HGNC:18990	ADGRF1	Q5T601
HGNC:18991	ADGRF2	Q8IZF7
HGNC:18989	ADGRF3	Q8IZF5
HGNC:19011	ADGRF4	Q8IZF3
HGNC:19030	ADGRF5	Q8IZF2
HGNC:32922	ADGRF5P1	
HGNC:32921	ADGRF5P2	
HGNC:4512	ADGRG1	Q9Y653
HGNC:4516	ADGRG2	Q8IZP9
HGNC:13728	ADGRG3	Q86Y34
HGNC:18992	ADGRG4	Q8IZF6
HGNC:19010	ADGRG5	Q8IZF4
HGNC:13841	ADGRG6	Q86SQ4
HGNC:19241	ADGRG7	Q96K78
HGNC:20973	ADGRL1	O94910
HGNC:18582	ADGRL2	O95490
HGNC:20974	ADGRL3	Q9HAR2
HGNC:50604	ADGRL3-AS1	
HGNC:20822	ADGRL4	Q9HBW9
HGNC:17416	ADGRV1	Q8WXG9
HGNC:249	ADH1A	P07327
HGNC:250	ADH1B	P00325
HGNC:251	ADH1C	P00326
HGNC:252	ADH4	P08319
HGNC:253	ADH5	P11766
HGNC:22976	ADH5P2	
HGNC:22991	ADH5P3	
HGNC:21377	ADH5P4	
HGNC:255	ADH6	P28332
HGNC:256	ADH7	P40394
HGNC:16354	ADHFE1	Q8IWW8
HGNC:30576	ADI1	Q9BV57
HGNC:28606	ADIG	Q0VDE8
HGNC:13633	ADIPOQ	Q15848
HGNC:40648	ADIPOQ-AS1	
HGNC:24040	ADIPOR1	Q96A54
HGNC:44910	ADIPOR1P1	
HGNC:44911	ADIPOR1P2	
HGNC:24041	ADIPOR2	Q86V24
HGNC:24043	ADIRF	Q15847
HGNC:45127	ADIRF-AS1	
HGNC:257	ADK	P55263
HGNC:259	ADM	P35318
HGNC:28898	ADM2	Q7Z4H4
HGNC:27293	ADM5	C9JUS6
HGNC:15766	ADNP	Q9H2P0
HGNC:51227	ADNP-AS1	
HGNC:23803	ADNP2	Q6IQ32
HGNC:23506	ADO	Q96SZ5
HGNC:262	ADORA1	P30542
HGNC:263	ADORA2A	P29274
HGNC:37122	ADORA2A-AS1	P86434
HGNC:264	ADORA2B	P29275
HGNC:265	ADORA2BP1	
HGNC:268	ADORA3	P0DMS8
HGNC:25250	ADPGK	Q9BRR6
HGNC:44144	ADPGK-AS1	
HGNC:269	ADPRH	P54922
HGNC:21303	ADPRHL1	Q8NDY3
HGNC:21304	ADPRHL2	Q9NX46
HGNC:30925	ADPRM	Q3LIE5
HGNC:277	ADRA1A	P35348
HGNC:278	ADRA1B	P35368
HGNC:280	ADRA1D	P25100
HGNC:281	ADRA2A	P08913
HGNC:282	ADRA2B	P18089
HGNC:283	ADRA2C	P18825
HGNC:285	ADRB1	P08588
HGNC:286	ADRB2	P07550
HGNC:288	ADRB3	P13945
HGNC:289	ADRBK1	P25098
HGNC:290	ADRBK2	P35626
HGNC:15759	ADRM1	Q16186
HGNC:291	ADSL	P30566
HGNC:292	ADSS	P30520
HGNC:20093	ADSSL1	Q8N142
HGNC:21214	ADTRP	Q96IZ2
HGNC:303	AEBP1	Q8IUX7
HGNC:24051	AEBP2	Q6ZN18
HGNC:25722	AEN	Q8WTP8
HGNC:307	AES	Q08117
HGNC:309	AF8T	
HGNC:310	AFA	
HGNC:24017	AFAP1	Q8N556
HGNC:28141	AFAP1-AS1	
HGNC:26714	AFAP1L1	Q8TED9
HGNC:25901	AFAP1L2	Q8N4X5
HGNC:312	AFD1	
HGNC:7135	AFF1	P51825
HGNC:3776	AFF2	P51816
HGNC:41334	AFF2-IT1	
HGNC:6473	AFF3	P51826
HGNC:17869	AFF4	Q9UHB7
HGNC:314	AFG3L1P	
HGNC:315	AFG3L2	Q9Y4W6
HGNC:24169	AFG3L2P1	
HGNC:316	AFM	P43652
HGNC:20910	AFMID	Q63HM1
HGNC:317	AFP	P02771
HGNC:25951	AFTPH	Q6ULP2
HGNC:318	AGA	P20933
HGNC:16922	AGAP1	Q9UPQ3
HGNC:41427	AGAP1-IT1	
HGNC:16921	AGAP2	Q99490
HGNC:48633	AGAP2-AS1	
HGNC:16923	AGAP3	Q96P47
HGNC:23459	AGAP4	Q96P64
HGNC:23467	AGAP5	A6NIR3
HGNC:23466	AGAP6	Q5VW22
HGNC:23465	AGAP7P	Q5VUJ5
HGNC:23463	AGAP9	Q5VTM2
HGNC:23659	AGAP10P	
HGNC:29421	AGAP11	Q8TF27
HGNC:23661	AGAP12P	
